Context,Text Response
Here you go.,"	Thank you very much."
Can I do anything else for you?,"	No. That'll be all."
How are you?,"	I'm fabulous."
What can I help you with?,"	I need to make a withdrawal."
How much are you withdrawing today?,"	I need $300."
What account would you like to take this money from?,"	Take it from my checking account."
Here's your $300.,"	Thank you so much."
Will you be needing anything else?,"	That's it for today."
How's it going?,"	I'm fine. Thanks for asking."
What did you need?,"	I would like to make a withdrawal."
How much money would you like to withdraw?,"	I want to take out $300."
Which account are you making this withdrawal from?,"	I want it taken from my checking account."
"All right, here is your $300.","	Thanks a lot."
Is there anything else that I can do for you today?,"	No. That's everything. Thank you"
How are you doing today?,"	I'm fine."
What can I do for you?,"	I would like to cancel a check."
Is there a problem?,"	I wrote the check out for too much."
How much did you write it out for?,"	I wrote it out for $150."
How much was it supposed to be?,"	It was supposed to be for $100."
I'll cancel that check for you.,"	I really appreciate your help."
How are you?,"	I'm doing well."
How may I help you?,"	Could you cancel a check for me?"
What's the problem?,"	I wrote the check out for way too much."
How much?,"	I wrote the check out for $150."
What were you supposed to write it out for?,"	I was supposed to write the check out for $100."
I'll just cancel it for you right now.,"	That's great. You're a lifesaver."
How's it going?,"	Great. Thank you."
What can I help you with?,"	I need to cancel a check."
What's wrong with the check?,"	I accidentally wrote the check for too much."
How much did you write the check for?,"	The check was written for $150."
How much were you supposed to write it for?,"	I needed to write it for $100."
I can cancel it for you right now.,"	Thank you so much."
,"Hi	Greetings"
,"Hi	Greetings"
What do I have to do?,"	Slide your card into the machine."
Then what?,"	You need to type your PIN in."
What do I have to do next?,"	Click on whichever option you want, and you're done."
I have to use the ATM.,"	Is there a problem?"
I don't know how to use it.,"	What are you talking about?"
I have never used an ATM before.,"	I can show you how to use it."
How do I use it?,"	You need to push your card into the machine."
What's next?,"	Enter your PIN."
What else do I have to do?,"	Every option you can choose will appear on the screen. That's about it."
"So, why don't you?","	I have no idea how to use the ATM."
What do you mean?,"	This will be my first time using an ATM."
Now what do I do?,"	Then you need to type in your PIN."
Now what?,"	Just click on one of the choices they give you, and that's it."
Do you have any other questions?,"	I want to know about fees."
Which fees?,"	Overdraft fees."
How much is the fee?,"	You'll have to pay $25 every time you overdraft."
That's a small fee?,"	It should stop you from overdrafting."
Can I help you with anything else?,"	That's it for today. Thank you."
Do you have any questions?,"	Tell me about fees."
What fees are you referring to?,"	I want to know about overdraft fees."
We charge a small fee every time you overdraft.,"	How much?"
Do you need help with anything else?,"	That's all I needed to know. Thanks."
Would you like to ask any questions?,"	I need to know about the fees."
What kind of fees?,"	I'm asking about overdraft fees."
How is that a small fee?,"	That fee should keep you from overdrafting."
Do you have any more questions?,"	I don't need to know anything else. Thank you."
How may I help you today?,"	I need to open a second account."
What kind of account would you like to open?,"	I need another savings account."
Do you have another account with us?,"	I sure do."
Would you like to transfer money from that account into your new one?,"	That's fine."
How much would you like to transfer?,"	Transfer $100."
That's fine.,"	Thank you."
How can I help you?,"	I want to open another account."
What kind would you like to open?,"	I would like to open a savings account."
Do you already have an account with us?,"	I have another savings account open already."
Do you want to transfer money from that account?,"	I would like to do that."
How much?,"	I only want to transfer $100."
What can I do for you?,"	I would like to open another account."
What kind do you want to open?,"	I want to open a savings account."
Do you have an account opened with this bank already?,"	Yes, I do."
How much money do you want to transfer?,"	I want to transfer $100."
,"All right	yeah"
,"All right	yeah"
Could you help me?,"	What do you need?"
What building is it in?,"	It's in the C building."
Do you think you can tell me where it is?,"	Sure."
May I get you some water or coffee?,"	Sure, thank you."
Would you like some tea or coffee?,"	I'd love some."
Would you care for some water?,"	Yes, that would be great."
would you rather do the computer work?,"	I would like to help with the computer work."
"Well then, thanks for your help.","	Have a great day!"
Would you like me to help you on your new project?,"	I would love the help! Would you prefer helping with the writing part or is programming more your thing?"
Can you be there?,"	I am not sure yet."
Can you help me plan the office party?,"	Sure."
Should this party be formal or casual?,"	I think it should be casual."
Which one should we have?,"	I would prefer Chinese food for this party."
What do you feel like eating this morning?,"	I usually just have a bowl of cereal."
What do you make?,"	All I make is oatmeal, toast, and some orange juice."
What are you going to have for breakfast?,"	I just have some cereal each morning."
What do you have for breakfast?,"	I just make some oatmeal, toast, and OJ."
Would you like me to make something?,"	Thank you, it's not needed."
What do you want to eat for breakfast?,"	All I usually have is some python codes for breakfast."
What's for lunch?,"	I don't know."
What do you want to eat?,"	I was thinking of pizza."
Where can we go to get both?,"	We can get both at the cafeteria."
What are we eating for lunch?,"	I have no idea."
Do you want to get a burger?,"	Yes I want to get a burger."
Where do they sell both at?,"	They sell pizza and burgers at the cafeteria."
What's for dinner tonight?,"	I'm not making anything."
What do you feel like having?,"	I want some chicken and potatoes."
When are you going to make it?,"	I have no plans on cooking tonight."
What are we going to eat for dinner?,"	I didn't plan on cooking tonight."
Are we going to have dinner tonight?,"	I'm not cooking dinner."
What do you want to eat?,"	I have a taste for some chicken and potatoes."
are you planning on cooking it?,"	I'll cook dinner."
"Hi, can I speak with the apartment manager, please?","	Hello, this is the apartment manager speaking."
Would you be interested in seeing the apartment?,"	I would love to see it."
Are you free today at around 6 p.,"m.?	Yes, I will be able to make it then."
Do I need to bring anything?,"	No."
How can I help you?,"	I was wondering if the apartment on Main Street is still available."
Are you interested in seeing it?,"	Yes, I would love to see"
should I bring anything with me?,"	No. I might need to see your ID card, but that's about it."
Could I speak to the apartment manager?,"	I am the apartment manager."
How can I help you?,"	I wanted to know if that apartment on Main Street is still for rent."
How about today?,"	That time is okay with me."
Do I need to bring anything myself?,"	No. The only thing I need to see is your driver's license."
What can I do for you?,"	I'm interested in the apartment on Main Street."
Do you want to see it?,"	Yes, I would very much like to see it."
Does today at 6 p.,"m. sound okay to you?	I have no problem with 6 p.m."
Do you need any directions?,"	No, thanks. I already drove by to see what the neighborhood looks like."
Should I bring anything with me?,"	No. I only need to check your driver's license."
How can I help you?,"	I was hoping that the apartment on Main Street was still available."
Is there anything that I need to bring with me?,"	No. I won't need to see anything except your driver's license."
Hi.," How can I help you today?	Well, my window facing the empty lot is broken."
"Oh, that's not good."," What happened?	I dont know. I wasn't home when it happened."
Do you have any clue who might have done this?,"	I have a feeling that it might have been the neighborhood kids."
"Why, what leads you to that suspicion?","	Well, next to the broken glass was a baseball."
Hello.," What can I do for you today?	My living room window is broken."
Are you serious?,"	no"
Do you know any of them?,"	No, I didn't pay any attention to who they were."
What can I do for you?,"	Something happened to my window. It's broken."
How about if I call a friend of mine who is a repairman?,"	That's no problem. I'll come by right now to look at the damage."
How may I help you?,"	My window that faces the empty lot is broken."
"Hi	how may I help you?",
"Hello	hello, how may I help you?",
"Hi	Greetings, how can i help you?",
Can you tell me which credit card it was for?,"	It was for my Master Card."
What am I supposed to do about my bill then?,"	Maybe you should call your post office."
can I get an extension on my bill payment?,"	Yes, but you will need to send us proof of their mistake."
Thank you very much for your help.,"	Enjoy the rest of your day."
What am I going to do since I haven't received the bill?,"	If you haven't gotten it yet, then you should probably take that up with your post office."
"Thanks for your help	Nice.", Have a great day ahead.
,"Happy to help you	You are welcome"
,"Happy to help you	You are welcome"
,"Thanks	Welcome"
,"Thanks	Welcome"
,"Thank you so much	You are welcome"
,"Thank you so much	You are welcome"
Good evening.,"	Good evening."
What's the matter?,"	I have always got a headache. I never feel fresh."
Do you take exercise?,"	No. I don't find time."
Good bye.,"	Good bye."
"Hello,how may I help you today?","	Hi.I would like to increase my Internet data."
I'll be glad to help you with that.,"	Thankyou."
What is your account number?,"	I don't have my account number with me,but my phone number is 310-865-9274."
"Alright,I see you use our mobile service.","	Yes.I also have a landline."
What does this new service include?,"	It makes the Internet connection twice as fast."
"This is Tech Support,how may I help you?","	I am having problems with my Internet service."
What seems to be the problem?,"	None of my wireless devices are connecting to the Wi-Fi."
Have you tried disconnecting and reconnecting the modem?,"	No,how do I do that?"
Are all of the lights back on the modem?,"	Yes,they're all green!"
"Hello, is this the Smith residence?","	Hello, how can I help you today?"
I am very upset with the quality of your service.,"	I'm sorry, what seems to be the problem?"
My Internet service did not work for three days.,"	My records say a technician visited your area yesterday?"
"Yes,he installed a new modem.","	Did it solve the problem?"
"Yes,but I was overcharged for Internet service.","	Sorry about that."
I was sold a wireless service unavailable in my area.,"	I see it here,we charged you $5 extra a month."
How may I help you?,"	My computer is not letting me run JavaScript."
That can easily be fixed.,"	I've tried fixing it myself, but nothing worked."
Can I have your name?,"	My name is Sarah."
,"Alright,thank you!	See you soon!"
,"Alright,thank you!	See you soon!"
"I don't have any clean laundry for tomorrow!	Well,you should do your laundry then.",
Do you have any quarters?,"	Yes.I have enough for the washer and dryer."
"Alright then,let us get going.","	This is going to take forever."
How long should I put them in for?,"	Put them on low heat for thirty minutes."
Why low heat?,"	If the air is too hot,the clothes will shrink."
Does warm water make them fade?,"	Yes.Put the detergent here,and don't use bleach."
"Excuse me,Can I borrow your fabric softener?","	Of course,take as much as you need."
Thank you.,"You're very kind.	Itis no problem at all."
"I love the subtle smell of this brand	Me too,It is not overpowering or strong.",
"Hello, is this the Smith residence?","	Sarah! Hurry up and get out of bed!"
Why I do it every morning?,"	If you don't get out of bed, you'll get to school late."
How is it not so bad?,"	Sleep is good for growing children."
What is the purpose of this meeting exactly?,"	I just wanted to let you know that James is doing very well."
What about history?,"	Only the parts about Woodstock."
"Hello,is this the Smith residence?","	Children,it is time to go to bed!"
"But we're not sleepy yet!	If you get into bed right now, I'll read you a fairytale.",
Why do we hear fairytales before bed?,"	So that the magic from stories can grow while you're sleeping."
"Hello,is this the Smith residence?","	David!Clean your room.It is filthy!"
Have you no shame?,"	What should I be ashamed of?"
"There are clothes all over the ground!	It is just easier to leave them there.",
"I think these puppies are hungry!	They've done nothing but play all day.",
Do you think they're old enough to eat kibble?,"	They're six weeks old; I think they're old enough."
"Look!They're digging right in!	Now they're settling for a nap.",
"Between keeping them from chewing things and cleaning, they're a hassle.","	Yeah,they are.But look how cute they are while asleep!"
"Suddenly,I don't mind the chores so much.","	Yeah, neither do I."
These puppies are truly worth it.,"	I wouldn't lose a single minute with them"
"Hello,is this the Smith residence?","	yes"
What is for dinner?,"	I should be asking you that."
Why do you say that?,"	You're old enough to cook dinner."
Are you saying itis my turn now?,"	Actually, thatis exactly what I'm saying."
"What would you like to eat,then?","	I'm craving some spaghetti,bread and even a salad."
Can you even cook?,"	Of course I can cook!I choose not to."
"Hello, how are you doing?","	I am doing quite well,how are you?"
"I've been better,I'm completely swamped with work.","	I know the feeling"
How are the kids?,"	They are good.The oldest is about to graduate from high school."
"You're kidding me!Thatis great, man.","	The youngest is about to start middle school soon."
My son is about to start middle school as well.,"	Hey, maybe they will be classmates."
"That is great! I'm good,but I feel a little sick.","	That is not good.I heard there is a flu going around."
"Well,I have to be sure to take good care of myself.","	Sucks that you aren't feeling well,it is a nice day."
The sunshine makes me want to go to the beach.,"	That is a great idea,but I think you'll get sicker if you go."
can we go some other time?,"	For sure"
Sounds like a plan.,"I'll talk to you later.	Cool,see you later."
Everything is going wrong today.,"	Well,at least the weather is nice."
"Yeah,I love when the sun is shining, but itis not too hot.","	I do,too."
This weather is pretty sweet.,"	I guess everything will be okay in the end."
So all you needed was some sunshine.,"	Yeah,I guess you were right for once."
,"Hey I'm always right	Quick! Get in here and wait out the storm!"
,"Hey I'm always right	Quick! Get in here and wait out the storm!"
"Oh,my word	It is raining cats and dogs out there.",
"More like lions and wolves	I was watching the news.",
What did they say?,"	This is going to be one heck of a storm."
Should we be worried?,"	I don't think so."
"True,Well,thank you for saving me from this storm.","	No problem.I'm making some tea"
would you like some?,"	Please,Something warm would be great at the moment!"
Heard itis supposed to rain.,"	Where did you hear that from?"
The weatherman said there is a high probability of rain.,"	Since when have you started watching the news?"
I've always watched the news.,"	What else did they say about the weekend?"
I think they said it was going to rain throughout the weekend.,"	Throughout the weekend?"
Don't pull my chain.,"	I'm not."
"Okay,suit yourself	I won't.",
I'd rather get wet than listen to you.,"	Why don't you ever answer your phone?"
I'm usually busy.,"Whatis up?	I wanted to see if you were down to kick it."
Where do you want to go?,"	Let us go for a drink at the bar where we went last week."
"Okay,but I only have enough for three beers.","	It is fine.I'll pay for the rest"
I paid for you last time.,"You owe me!	Well, then we can call it even."
Where should we meet?,"	Nope ! we can't meet . I am a virtual machine"
Sounds good.,"I'll see you in an hour.	Great.See you then,later"
You date so many girls that I get confused.,"	First off,I don't date."
"So,which one is she?","	Which girl?"
The cute one.,"You know the one with the tattoo up her thigh?	I think I would have noticed that."
She is the only one with blonde hair.,"	Well."
"I know you check her out,I assumed you saw the tattoo.","	I'm not that big of a pervert."
"I have a new co-worker at work,She is pretty.","	Oh,yeah?"
Is she prettier than your ex-girlfriend?,"	Yeah,she is."
"Sheis tall,thin,and wears glasses.","	What is it with you and girls with glasses?"
You know what?,"I don't know.	Well,tell me about her."
"Yeah,actually a lot of them are.","	How does she act?"
Is she nice?,"	She is."
"I dropped my wallet,and didn't notice,She took it to me.","	Well,ask her out tomorrow,or somebody will."
I heard that your brother is in the hospital.,"	Yeah,He is been there since last week."
What happened?,"	Is he alright?"
The doctors told you he would be alright?,"	Yes,but they need to keep him for further tests."
Really lucky.,"Did anyone else get injured?	His girlfriend broke her arm,but that is all."
"Oh,thatis not good.","Is she at the hospital?	Yes,she is taking care of my brother."
"C'mon,guess what?","	I don't know, chicken butt?"
Stop playing games.,"I got the part in the school play!	Really? Thatis great!"
All this practice is finally paying off.,"	Yes,it is.I can't believe it!"
Same here.,"I'm going to be the main character!	I'm so proud of you.I can't wait to see the play."
"It is going to be a lot of hard work,but I'm glad I got the part.","	When does the play open?"
It opens in three weeks.,"	Great.Get me a ticket.I want to be sitting in the front row."
That is an awesome shirt.,"	Thank you.It is so nice of you to say."
Where did you get it?,"	I got it at a store at the mall."
Did it cost a lot?,"	Things are usually overpriced there."
"Actually,it was quite cheap.","I got it for $15.99.	That is pretty cheap."
Do they have it in other colors?,"	Yes,sure."
Would you want to come with me?,"	We can go after school,if you want?"
Do you want to do something?,"	What did you have in mind?"
Do you want to go drink?,"	No,I have work tomorrow,and I don't want to be hung over."
You don't have to get wasted.,"	I know you.You won't shut your mouth until I get wasted."
I'm down to go to the record store.,"	I haven't been there in a while."
"Well,what do you want to do?","	Let us go to the movies instead?"
I was wondering what types of movies you liked.,"	Well, that is my favorite movie, but I like all sorts of movies."
How many times would you say you have seen it?,"	Too many to say.I watch it at least twice a month."
"Really,you like it that much?","	It is a really good movie.You should watch it."
Could I borrow it?,"I don't have money to buy it.	Yes,I could lend you the movie,but be careful with it."
I don't know which class to register for.,"	You should pick the class you need."
I know I need a science class.,"	I would take biology with Mr. Green."
Its a challenging yet fun class.,"	I don't like challenges."
Why are you in college then?,"	My mom forced me to enroll."
You should go to a vocational school instead.,"	I don't think you understand."
"Okay, fine.","I recommend Earth Science 125 with Mr. Anderson.	Thanks for the recommendation!"
I am so upset.,"	Oh,no.Talk to me about it."
I can't register for a class I really need.,"	Is it full?"
"I have a hold on my record, because my library books were overdue.","	Can't you just pay the overdue fees?"
I can't afford it.,"I'm totally broke.	How much do you need?"
I need $50.,"	Wow, you must have kept those books long past the due date."
"Yes,I know I am horrible.","	I'll lend you the money."
"Hi,I'm James.","What is your name?	Hi James. My name is Lisa."
I'm taking this class because it seems interesting.,"Why are you?	I'm taking this class because it is a requirement."
We should get to know each other.,"	I don't think so.I like keeping to myself."
So you don't like meeting new students?,"	Nope,I would rather just be alone."
That is so sad!It is not.,"	It is really peaceful and self-empowering."
Can we at least study together?,"	Nope,we can't do that."
It takes me hours to find my classroom.,"	I might be able to help you."
Really?,"That would be great!	What is your classroom number?"
My classroom number is A21.,"	So the A is the building type."
"Okay,but I don't know where that is.","	Do you know where the gym is?"
"Yeah,I do.","	Okay,your classroom is behind the gym."
That is really helpful!Thank you.,"	No problem,and the 21 means it is upstairs"
I can't spend anymore money after I buy my English textbook.,"	How much is your English textbook?"
It is $198.,"I'm not kidding.	That is ridiculously expensive!What is the title of the textbook?"
It is called How to Write Well.,"	Dude, someone is selling that book for $30."
No way.,"What edition is it?	I think it was the 10th edition."
"Oh,no wonder he or she is selling it for only $30.","	What edition do you need?"
I need the 21st edition.,"	The publisher seems to be really making money,considering the number of editions."
,"I hate Professor Hernandez!	Me too! He keeps calling me stupid!"
,"I hate Professor Hernandez!	Me too! He keeps calling me stupid!"
You think that is bad?," He gave me an F,because I double spaced my essay!	But every professor wants essays double spaced.He is crazy!"
Professor Hernandez is weird.,"He wants essays triple spaced.	That is just a waste of paper.Why does he like triple spacing?"
"He says it is because he has to make a lot of corrections,because we're stupid.","	We should start a petition, and get him fired!"
"We should,but he can find out.","	I know.If he found out,he would ruin everyone is life."
He is so evil.,"	That is why this petition has to work"
"Hey,Professor Hill.","	What is it?"
I've been having trouble with derivatives.,"	That is not good.There is a test on derivatives next week."
Can I make an appointment with you for some help?,"	I'm a busy man."
"You didn't even check your schedule yet!	I know I'm busy,because many people already made appointments.",
So I'm hopeless?,"	Of course not!There is the tutoring center."
But the tutors are not professors.,"They're just students.	They might surprise you"
May I turn in my homework tomorrow?,"	It is due today."
"I know,but I don't have it right now.","	How come?"
No!I left it at home.,"	I can't take your word for it."
I'll ask my mom to take a picture of it and send it to me.,"	That is fair enough."
"Thanks,Also,you should try trusting students more."," We're not all that bad.	I'll try,but I can't promise anything."
I have to tell you something.,"	What is it?"
You graded my test incorrectly.,"I got this wrong,but you didn't mark it.	Wow!I have never met a more honest student."
I just felt wrong.,"	Just keep the score you have."
I'm really bad at lying.,"	That is a good thing!Your honesty is praiseworthy."
"Thanks,Want to give me extra credit?","	Don't push it."
Can I borrow your class notes from yesterday is lecture?,"	You're so lazy."
What are you talking about?," I was sick yesterday.	I don't care."
"You're so mean!	I can't let anyone borrow my class notes.",
Why not?,"They're just notes.	I let a classmate borrow my notes once,and she sold copies to people."
"That is crazy,For how much?","	She sold each class note set for $5."
"Don't worry,I promise not to sell your notes.","	I can't take your word for it"
I think your grading policy is unfair.,"	I beg your pardon?!"
Why is a 90% a B?,"	I'm trying to challenge you guys."
"That is not a challenge,that is a punishment.","	I've had this policy since I started teaching."
It is time for a change.,"	I'm not changing my policy because you don't like it."
Put yourself in my shoes.,"	I have been a student once,and I think my policy is fair."
,"I'm going to drop your class	Go ahead!Less for me to grade!"
,"I'm going to drop your class	Go ahead!Less for me to grade!"
I have a 89.,"5%.	Okay,so what?"
It is really close to an A.,"	You know I don't round up."
But I really need a 4.,"0 GPA.	You get what you deserve."
"I know I deserve an A,I always do great work and participate.","	I can't change it."
I just want an A.,"	I'll give you a C if you don't leave now."
Why were you absent yesterday?,"	Why do you care?"
You should be thankful I care so much about your education.,"	The truth is,I didn't hear the alarm clock."
You missed out on a very important lecture.,"	It happens. I'll just ask my friend what was on the lecture."
"If you were in class,you wouldn't have to rely on anyone is notes.","	I can't change the past."
"I know,Anyways,you should increase the volume on your alarm clock.","	I suppose I could do that."
I have to leave class early tomorrow.,"	I don't like that.Just don't come to class."
"Don't be like that,Professor I have to attend my moms funeral.","	I'm sorry for your loss."
It is okay.,"I'm going to miss her.	I lost my mom when I was in college, too."
I can't do that.,"I have too many responsibilities.	Take my advice."
I'll think about it.,"	If you ever need to talk,my door is open."
I would like to see my counselor now.,"	Sorry,she doesn't have any time today."
Are you serious?,"	Yes,I am,Please make an appointment for next week."
I really need to see her.,"	I'm sorry,but you really can't."
"I swear,I will bang on her door and scream.","	Don't make a scene."
"If you don't want me to make a scene,tell the counselor I'm here.","	Fine!You can only talk to her for five minutes,though."
That is all I need.,"	Next time,you'd better make an appointment."
I'm glad you came to talk to me today.,"	You kind of forced me to."
That is because I'm worried.,"	What are you worried about?"
You withdrew from 4 of your 5 classes last semester.,"	I was doing poorly!"
And why was that exactly?,"	It was just too hard."
You're really behind now.,"You might have to spend 6 years here.	Can't I just take summer classes?"
"Yes,but you don't want to stress yourself out.","	I don't really have a choice."
I'm thinking of adding another class.,"	Another one?You already have 7 classes."
"I know,but I really want to add Psychology 101,It seems interesting.","	You're going to be so stressed out."
I think I can handle 8 classes.,"	Seriously?You're going to be constantly in class or studying."
"I know,but it is worth it.","	Tell me that when I'm partying and you're not."
That is so little.,"Don't you feel like an underachiever?	Remind me again why we're friends."
Want to go to the writing workshop with me today?,"	Nah man,my writing skills is tight."
"You mean ""are"" instead of ""is,""right?","	Yeah,of course!"
You should come with me.,"Our college has great workshops.	I don't want to look stupid."
You won't.,"You look stupid using incorrect grammar.	Fine.How long is the workshop?"
It is about an hour.,"	I don't think my attention span is more than 5 minutes."
"Don't worry,I'll pinch you to wake you up.","	That is a clever idea."
I'm planning to study abroad this summer.,"	Cool!Where are you going?"
I'm going to Italy.,"	What are you doing there?"
I'm taking a cooking class.,"	That sounds interesting."
I'm excited to learn in a totally new environment.,"	Italy seems beautiful."
It is beautiful in the pictures I've seen.,"	Take a lot when you're there."
"I will,and I'll study hard, too.","	Also,learn some Italian while you're there."
I hope I can find a job after graduation.,"	What is your major?"
My major is geology.,"	Geology majors aren't very high in demand,but you'll do fine."
What makes you say that?,"	You're smart and likeable.Don't worry."
"Thanks,but I'm still scared.","	Oh,hey!You should go to the job fair."
We have that here?,"	Yes.Take advantage of it."
Have you ever been there?,"	Yes,and it is really helpful.Dress nicely!"
I am so sick of dining hall food.,"	Me too!It is so unhealthy."
We should go to a restaurant nearby.,"	Want to go to Health Nut?"
,"What a funny name!	I like it!"
,"What a funny name!	I like it!"
Do they sell nuts?,"	I'm not sure.Anyways,I want to try their organic tofu."
I'm allergic to tofu.,"	That is okay!They serve a wide variety of food."
Great!I'm just glad we're not eating dining hall food.,"	Me too.Let us go!"
"Vending machines suck,huh?","	They're the worst,but the food is great."
It might come out if someone buys an item from the same column yours is on.,"	Can you be that someone?"
My name is Charlie.,"	Nice to meet you,Charlie."
What is your name?,"	Hater of Vending Machines."
"I would like to purchase the book for Sociology	May I see your student ID?",
I didn't know we needed it.,"	Please go get your ID,and get in line again."
"But I waited in line for two hours!	I'm sorry,but you need a student ID to purchase textbooks here.",
Are there any other options?,"	Show me proof that you're a student at this college,and you'll be good."
I have my report card.,"Here it is.	This will do.Nice grades by the way."
Thanks!I worked very hard for them.,"	Good luck with this semester."
Wow!Your books are over the due date by one month.,"	It would have been longer if there wasn't a hold on my record."
What kind of hold is on your record?,"	A hold that won't let me go to the college football game."
"Oh,that is tough.","	Yeah.My girlfriend is actually a cheerleader and so I have to go."
You're not going to like what I'm going to say.,"	What is it?"
I can't remove the hold even if you pay the overdue fee.,"	Is it a technical error?"
,"I don't know!I just can't remove it!	If my girlfriend breaks up with me,I'm blaming you"
,"I don't know!I just can't remove it!	If my girlfriend breaks up with me,I'm blaming you"
What do you plan to do after you graduate from here?,"	I'm planning to go to medical school,You?"
I'm planning to teach English in underprivileged countries.,"	That is really kind of you."
"Thanks,The first country I'm teaching in is Kenya.","	While you're at Kenya,I'll be studying for medical school."
What kind of doctor do you want to be?,"	I want to be a pediatrician."
Because you like kids?,"	I don't really have a good reason.I just think I'll be good at it."
"You should do what you love,not necessarily what you're good at.","	That is very cheesy advice."
"The parking permit is $200 per semester,right?","	It is actually $300."
Why?,"!That is ridiculous.	It is because of the budget cuts."
That is a terrible excuse.,"	It is the truth."
Give me something better than that.,"	Miss,if you don't want to pay,then don't."
This is so stressful.,"	I advise writing a letter to the dean."
I bet he'll just throw it away.,"	You would be surprised."
Do you have a car on campus?,"	No,because it is hard to find parking here."
How do you get to places then?,"	I walk or take the bus."
That is crazy!I could never do that.,"	You should.It is great for the environment."
That is true.,"What do you do for fun then?	There is a lot of stuff to do around campus."
I never realized.,"	You should do some exploring."
You convinced me.,"I won't bring my car this semester.	We can walk to places together now!"
"You know you can't park here,right?","	Listen,I had to talk to my friend really quickly and there was no parking spaces."
I'm going to have to give you a ticket.,"	I'm a broke college student."
And I'm a broke police officer.,"Deal with it.	Can't you just let me off with a warning?"
No way.,"I have to be firm with you.	I'll buy you a box of donuts."
You have got to be kidding me.,"	I thought all cops liked donuts."
That is a stereotype.,"You should really learn to be quiet.	I'll stay quiet if you let me off with a warning."
I'm thinking of joining a sports club on campus.,"	You should!It takes away the stress of studying."
What sport do you play?,"	I actually play on our university is baseball team."
That is cool!You must be really good.,"	Yeah,I have a baseball scholarship."
"No wonder you're in such great shape!	You'll be in great shape too after joining a sports club.",
I'm thinking of joining the tennis club.,"	I wouldn't if I were you.The members don't even play tennis."
What do they do then?,"	They just talk about tennis.They never even touched a racket,though."
College is so boring.,"All I do is go to class.	You should join some clubs."
Are you a part of any clubs?,"	Yes!I am currently in the Animal Lovers Club and the Knitting Club."
What do you do in the Animal Lovers Club?,"	We do a lot of things!Last week,we walked dogs."
"That sounds fun,What is the wildest animal you ever interacted with?","	I touched a dodo bird a couple weeks ago."
Dodo birds are extinct.,"	I'm just messing with you!"
"You're silly!Okay,I'll join the Animal Lovers Club.","	Great!We always welcome new members."
I have to go to bed early.,"	Why?The night is still young!"
I have a class at 7 a.,"m.	That is tough!My earliest class is at 9 a.m."
That sounds amazing to me.,"	How do you stay awake in that class?"
"Before I go to class,I drink four cups of coffee and take a cold shower.","	Interesting routine.Does it work?"
Kind of.,"It is better than not doing it at all.	Why are you taking that class?"
"It is only offered once a year,so I have to take it now.","	I hope the class is interesting,at least."
I hate my roommate.,"	I'm sorry to hear that.What is wrong with her?"
A lot of things.,"First of all,she snores so loudly!	That is not really her fault.What else?"
She never takes a shower.,"	That is disgusting!You should tell her to take a shower."
I did!She got mad at me and then proceeded to slap me.,"	Ouch!Did you try to get a new roommate?"
"I tried,but I could not.","No one was willing to switch.	I guess you can get a new room by yourself."
Are you okay?,"You look really sad.	I'm homesick,I feel so out of place here."
But this college is so awesome?,"	I know,but I really miss home."
How far do you live?,"	Far.Let is just say I need an airplane to get there."
It is almost winter break.,"Hang in there?	I don't think I can handle it anymore."
Don't you want to stop feeling sad?,"	Okay,I'll call them now."
could I change my major from biology to political science?,"	Those majors are very different from each other."
can't I see myself studying it anymore?,"	You can change it,but you'll have to take more classes."
I don't mind.,"Political science is really interesting to me.	You would be graduating a year late?"
"Oh,no.","I have to think a little more about this then.	I think you should change it,since you hate biology."
Are you making the right choice?,"	I have decided to drop out of college."
Are you making the worst decision of your life?,"	I just don't get the point of college.It is just memorizing."
What are you going to do then?,"	I'm going to get a job!"
is it almost impossible to be rich and successful without a college degree?,"	Look at Steve Jobs!He dropped out of college."
is he a rare case?,"	Watch me prove you wrong."
What is that exactly?,"	It is an expression to refer to the observation that many college freshmen gain weight."
Do I have time?,"	You just have to make time."
Did you gain any weight?,"	Yeah,I just wear big clothes to hide my fat."
"Hi,I'm here to apply for a library card.","	Is this your first time applying for one?"
It is my first time applying for a card here.,"	Do you have cards with any other libraries?"
"Yes,I have one with my college and one with my local library.","	What college do you go to?"
What do you like about it?,"	I like the foreign language books.That is rare for any library."
"Yes,it is!We get people all over the world because of that section.","	I really need a book,but I didn't see it on the shelf."
So someone else has the book and plans on checking it out?,"	Either that or someone took it out of the shelf and misplaced it."
I really need that book.,"	You're going to have to look everywhere for it."
Can't you just make an announcement asking whoever has the book to come forward?,"	You are not that special."
can you help me find a book on tigers?,"	Yes,of course."
Is it for a school project?,"	Yes,I'm doing an essay on the life of a tiger."
"You're going to want one with a lot of words and less pictures	yes,ofcourse.",
"Fine,I admit you're right.","	You can borrow the book with pictures for your own pleasure"
Great!You're so helpful.,"	It is my job to be helpful."
I would like to reserve The Hunger Games.," 	Everyone wants to reserve that book these days."
"It is really popular,because the movie just came out.","	You have to pay $1 to reserve the book."
What?,"!That is ridiculous.	Like you said,it is popular."
How much is the book?,"	On the back,it says it is $15,It depends on the bookstore you go to though."
"Fine,I'll give you a $1.","	You won't regret it!The book is really good."
"I'm sorry,but you can't borrow this book.","	What do you mean?"
You have not paid your late fees for your overdue books.,"	I never had any overdue books!"
